fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta,description
2026-06-30,2026-05-05,BizAway,Senior Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5719703144?utm_medium=api&utm_source=4332c1fe,"About BizAway Here at BizAway, we Deliver the Future of Travel.  We are a solid international company with strong ambitions and great expertise. With a focus on sustainability , on a daily basis we support companies enabling them to improve their travel management through our constantly evolving services and solutions, always characterized by our tech attitude and smart and innovative processes.  We know that success comes from People and deserves to be recognized.Proactivity and Reliability, K…"
2026-06-30,2026-03-10,Visium SA,Senior Machine Learning Engineer,IA,España,no especificado,,,,no especificado,nativo,https://www.adzuna.es/details/5660160155?utm_medium=api&utm_source=4332c1fe,"Visium combines strategy, frontier AI, and deep regulated-industry expertise to build and deploy AI-native systems that reinvent how businesses operate - unlocking the value of AI at scale. We're not a strategy firm that ships slide decks and walks away. Not a tech consultancy that builds what won't get adopted. Not a product company chasing problems it doesn't understand. We're all three at once: strategy, deep technical and integration expertise, and product, working as one. That combination …"
2026-06-30,2026-05-14,BizAway,Machine Learning Software Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5729532460?utm_medium=api&utm_source=4332c1fe,"About BizAway Here at BizAway, we Deliver the Future of Travel.  We are a solid international company with strong ambitions and great expertise. With a focus on sustainability , on a daily basis we support companies enabling them to improve their travel management through our constantly evolving services and solutions, always characterized by our tech attitude and smart and innovative processes.  We know that success comes from People and deserves to be recognized.Proactivity and Reliability, K…"
2026-06-30,2026-06-23,ARQUIMEA,Quantum Machine Learning Engineer,IA,"San Cristóbal de La Laguna, Santa Cruz de Tenerife",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5773895128?utm_medium=api&utm_source=4332c1fe,"ARQUIMEA , somos una empresa tecnológica que opera a nivel global y ofrece soluciones y productos innovadores en sectores muy exigentes. Nuestros sectores de actividad son Aeroespacial, Defensa y Seguridad, Big Sciencie, Biotecnología y Fintech . ARQUIMEA Research Center (ARC), parte de ARQUIMEA , nació en 2019 con el objetivo de inventar las tecnologías del mañana. Un entorno de innovación y excelencia a nivel europeo, en el que investigadores sénior y júnior de todo el mundo desarrollan tecno…"
2026-06-30,2026-06-18,Dow Jones,Machine Learning Engineer (Personalization),IA,"Barcelona, Cataluña",no especificado,70000.0,90000.0,,"python, aws, azure, sql",no especificado,https://www.adzuna.es/details/5768357855?utm_medium=api&utm_source=4332c1fe,"Requirements 3 years of industry experience applying machine learning methods, with a strong focus on recommender systems, search, ranking, or personalization Strong proficiency in Python for production ML systems Experience with A/B testing and experimentation frameworks to measure model impact Familiarity with cloud platforms (AWS, GCP, or Azure) and containerized environments Familiarity with SQL and NoSQL databases Degree in computer science, machine learning, statistics, or equivalent work…"
2026-06-30,2026-01-16,Dow Jones & Company,Senior Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5588407679?utm_medium=api&utm_source=4332c1fe,"Job Description: About the Role Dow Jones is seeking a skilled Senior Machine Learning Engineer to join our AI Engineering Team, reporting to the ML Engineering Manager. You will be responsible for designing, building, and maintaining generative AI experiences (summarization, conversational AI, deep research) that define the future of news (like The Wall Street Journal) for millions of users. As a key team member, you will play a crucial role in operationalizing machine learning solutions to me…"
2026-06-30,2026-05-08,Dow Jones & Company,"Machine Learning Engineer, Personalization",IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5722201352?utm_medium=api&utm_source=4332c1fe,"Job Description: Machine Learning Engineer, Personalization Dow Jones Job Location: Barcelona About the Team: Our Technology team drives the evolution of our Engineering, Data, Product and User Experience functions. With a keen focus on delivering cutting-edge solutions, we shape the digital landscape for our customers, readers and users. From revolutionizing visuals to optimizing tools and harnessing the power of data, mobile, video and social platforms, our team is committed to providing a se…"
2026-06-30,2026-05-08,BizAway,Senior Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5722203711?utm_medium=api&utm_source=4332c1fe,"About BizAway Here at BizAway, we Deliver the Future of Travel.  We are a solid international company with strong ambitions and great expertise. With a focus on sustainability , on a daily basis we support companies enabling them to improve their travel management through our constantly evolving services and solutions, always characterized by our tech attitude and smart and innovative processes.  We know that success comes from People and deserves to be recognized.Proactivity and Reliability, K…"
2026-06-30,2026-06-04,HS International,Sr. Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5751250570?utm_medium=api&utm_source=4332c1fe,"Whether you’re an experienced professional or just getting started, your contributions matter at Fortra. If you’re passionate about tackling meaningful challenges alongside talented team members committed to helping each other succeed, all while having lots of fun, we want to hear from you. We offer competitive benefits and salaries, personal and professional development opportunities, flexibility, and much more! This position is responsible for developing, enhancing, and maintaining our Machin…"
2026-06-30,2026-06-22,Merantix,Machine Learning Engineering Manager,IA,"Amer, Girona",no especificado,70000.0,90000.0,,no especificado,nativo,https://www.adzuna.es/details/5772546581?utm_medium=api&utm_source=4332c1fe,"Job Requisition ID 26WD99363 Position Overview If you're looking to make a significant impact and shape the future of the AEC industry, this is the role for you. AI is the future of design and make, and Autodesk is pioneering the transformation of the AEC industry. We're enhancing our applications with cloud-native capabilities, including data at scale, edge computing, AI-based solutions, and advanced 3D modeling and graphics. This innovation is happening across our flagship products—AutoCAD, R…"
2026-06-30,2026-06-28,Expedia,Machine Learning Engineer III,IA,España,no especificado,78.0,55500.0,,no especificado,b2,https://www.adzuna.es/details/5779533397?utm_medium=api&utm_source=4332c1fe,"At Expedia Group, we help travelers explore the world, one journey at a time. As a global travel company powered by passionate people, trusted partnerships, and leading technology, we connect travelers, partners, and advertisers through our consumer brands, B2B network, and travel advertising business. Here, you'll do meaningful work that helps millions of people discover, book, and experience travel with more ease, confidence, and joy. Our five Behaviors-Traveler First, Think Big, Operate with…"
2026-06-30,2026-06-02,Roche,Senior Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5748822037?utm_medium=api&utm_source=4332c1fe,"At Roche you can show up as yourself, embraced for the unique qualities you bring. Our culture encourages personal expression, open dialogue, and genuine connections, where you are valued, accepted and respected for who you are, allowing you to thrive both personally and professionally. This is how we aim to prevent, stop and cure diseases and ensure everyone has access to healthcare today and for generations to come. Join Roche, where every voice matters. The Position Who We Are At Roche Diagn…"
2026-06-30,2026-06-08,Roche,Senior Machine Learning Engineer,IA,"Sant Cugat del Vallès, Barcelona",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5755773072?utm_medium=api&utm_source=4332c1fe,"At Roche you can show up as yourself, embraced for the unique qualities you bring. Our culture encourages personal expression, open dialogue, and genuine connections, where you are valued, accepted and respected for who you are, allowing you to thrive both personally and professionally. This is how we aim to prevent, stop and cure diseases and ensure everyone has access to healthcare today and for generations to come. Join Roche, where every voice matters. The Position Who We Are At Roche Diagn…"
2026-06-30,2025-07-18,Fever,Senior Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5309086839?utm_medium=api&utm_source=4332c1fe,"Hey there! We’re Fever, the world’s leading tech platform for culture and live entertainment, Our mission? To democratize access to culture and entertainment. With our proprietary cutting-edge technology and data-driven approach, we’re revolutionizing the way people engage with live entertainment. Every month, our platform inspires over 300 million people in 40 countries (and counting) to discover unforgettable experiences while also empowering event creators with our data and technology, helpi…"
2026-06-30,2026-06-10,Advancing People Ltd,Founding Machine Learning Engineer - Barcelona,IA,Barcelona,no especificado,,,,no especificado,requerido,https://www.adzuna.es/details/5757769013?utm_medium=api&utm_source=4332c1fe,"Are you an experienced fluent English speaking Machine Learner, located in Barcelona or willing to relocate? Our rapidly expanding SaaS client is building an in-person team in Barcelona, working together in English. They support relocation and visa sponsorship where needed. Their values are simple: stay curious, be kind always, and move with purpose . They care about technical depth, but also about how people work together, learn, communicate, and support each other. They offer competitive sala…"
2026-06-30,2025-11-13,SmartAssets,AI Engineer / Machine Learning Engineer,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5493965976?utm_medium=api&utm_source=4332c1fe,"SmartAssets is on the lookout for an experienced and innovative Lead AI Engineer to join our dynamic team. In this role, you will take a leadership position in developing and optimizing AI-driven features, guiding junior engineers, and ensuring the robustness and scalability of our AI solutions. You will play a pivotal role in shaping our platform's future by leading new projects and enhancing existing functionalities. About SmartAssets: Incubated within the Stagwell Marketing Cloud, our AI pla…"
2026-06-30,2026-06-17,IFS,Senior/Lead Machine Learning Engineer,IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5766112402?utm_medium=api&utm_source=4332c1fe,"Job Description An ML engineer at IFS is part software engineer, part dev ops engineer and ML savvy, who combines knowledge of systems and applications, machine learning and artificial intelligence to build and deploy AI-driven solutions. The work is focused on designing and maintaining high-performance, scalable AI/ML infrastructure, building, and executing ML pipelines efficiently, serving models at scale, and creating the tools for continuous monitoring and improvements. Someone in this role…"
2026-06-30,2026-05-17,Amazon,"Machine Learning Engineer, Amazon Tablets",IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5732159744?utm_medium=api&utm_source=4332c1fe,"Description At Amazon Devices & Services, we believe that ideas can change the world. We build the technology that becomes part of everyday life and connects millions of people in ways never thought possible. We engineer high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced game-changing devices like Fire tablets, Fire TV, Amazon Dash, and Amazon Echo. Join us as a Software Development Engineer to help us imagine the future, and let's mak…"
2026-06-30,2026-06-18,Amazon,"Machine Learning Engineer, Amazon Tablets",IA,"Madrid, Comunidad de Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5768354237?utm_medium=api&utm_source=4332c1fe,"Description At Amazon Devices & Services, we believe that ideas can change the world. We build the technology that becomes part of everyday life and connects millions of people in ways never thought possible. We engineer high-profile consumer electronics, including the best-selling Kindle family of products. We have also produced game-changing devices like Fire tablets, Fire TV, Amazon Dash, and Amazon Echo. Join us as a Software Development Engineer to help us imagine the future, and let's mak…"
2026-06-30,2026-06-18,Nunegal Consulting,Machine Learning Engineer - 100% remoto,IA,España,no especificado,82169.0,105646.0,,no especificado,no especificado,https://www.adzuna.es/details/5768352871?utm_medium=api&utm_source=4332c1fe,"¿Tienes experiencia como Machine Learning Engineer? ¿Te apasiona la tecnología y el desarrollo? ¿Buscas proyectos  y que tengan impacto? Si es así, sigue leyendo Cultura de mejora continua: Te integrarás en un proyecto desafiante que potenciará tus conocimientos y experiencia.  Crecimiento profesional: Priorizamos la promoción interna y el desarrollo de nuestro equipo.  Buen rollo: Somos un equipo colaborativo, nos ayudamos y compartimos conocimientos. ¡Y somos conocidos por nuestro Nunefest!  …"
2026-06-30,2026-06-25,BizAway,Data Scientist,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5776644592?utm_medium=api&utm_source=4332c1fe,"About BizAway Here at BizAway, we Deliver the Future of Travel.  We are a solid international company with strong ambitions and great expertise. With a focus on sustainability , on a daily basis we support companies enabling them to improve their travel management through our constantly evolving services and solutions, always characterized by our tech attitude and smart and innovative processes.  We know that success comes from People and deserves to be recognized.Proactivity and Reliability, K…"
2026-06-30,2026-06-29,Asenium,Data Scientist,IA,"Mos, Pontevedra",no especificado,,,,"docker, kubernetes",no especificado,https://www.adzuna.es/details/5781409301?utm_medium=api&utm_source=4332c1fe,"Buscamos Data Scientist con foco MLOps y experiencia en Stratio. Estamos incorporando un/a Data Scientist con experiencia en entornos productivos de machine learning para una misión de larga duración, con inicio inmediato y posibilidad de continuidad. Buscamos perfiles con experiencia en: despliegue y operación de modelos en producción monitorización, retraining y gestión de drift automatización de pipelines de datos y procesos MLOps Docker, Kubernetes, CI/CD y cloud plataforma Stratio, a nivel…"
2026-06-30,2025-03-31,Softeca,Data Scientist,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5119719883?utm_medium=api&utm_source=4332c1fe,"Acerca de Softeca En Softeca contamos con más de 20 años de experiencia trabajando en grandes compañías dedicadas a la distribución en distintos sectores como la alimentación o la automoción. Estamos ampliando a nuestro equipo y buscamos un desarrollador Data Scientist. El candidato ideal será responsable de diseñar y desarrollar soluciones de análisis avanzadas, automatizar flujos de trabajo de datos y construir modelos predictivos, además de crear dashboards interactivos para impulsar las dec…"
2026-06-30,2026-06-08,CapsLock,Data Scientist,IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5756549806?utm_medium=api&utm_source=4332c1fe,"We are seeking a driven and creative Data Scientist with a minimum of 3 years of experience in a data science or machine learning role, who will be instrumental in building predictive models, testing hypotheses, and providing statistically sound insights that enhance our lead generation capabilities. The Data Scientist will be part of our analytics team, working closely with IT, marketing, media buying and CRO teams to transform raw data into actionable insights, whether that means building rea…"
2026-06-30,2026-06-06,CapsLock,Data Scientist,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5753770894?utm_medium=api&utm_source=4332c1fe,"We are seeking a driven and creative Data Scientist with a minimum of 3 years of experience in a data science or machine learning role, who will be instrumental in building predictive models, testing hypotheses, and providing statistically sound insights that enhance our lead generation capabilities. The Data Scientist will be part of our analytics team, working closely with IT, marketing, media buying and CRO teams to transform raw data into actionable insights, whether that means building rea…"
2026-06-30,2026-05-11,Abound,Data Scientist,IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5725426005?utm_medium=api&utm_source=4332c1fe,"About Abound We’re redefining consumer lending in the UK, and beyond. Using advanced AI and Open Banking data, we make fair, affordable personal finance available to more people. While traditional lenders rely almost entirely on credit scores, we look at the full financial picture - how much you spend, and what you can afford to repay to build a deeper, more accurate understanding of each customer's unique financial situation. And we've shown it works at scale. We’ve issued over £1.3bn in loans…"
2026-06-30,2025-11-05,Veepee,Data Scientist,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5482275736?utm_medium=api&utm_source=4332c1fe,"Pioneer of online flash sales since 2001 and key player in European e-commerce, Veepee collaborates with over 7,000 brands to offer highly discounted products available for a limited time. Operating across various sectors, including fashion, home, wine, travel or beauty Veepee achieved a turnover of 3.3 billion euros incl. VAT in 2024 and employs 5,000 staff members across 10 countries.  JOB DESCRIPTION As a Data Scientist, you’ll join our Data Science team, distributed across Paris, Lyon, Barc…"
2026-06-30,2026-06-27,Mática Partners,Data Scientist,IA,"Arbo, Pontevedra",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5779369109?utm_medium=api&utm_source=4332c1fe,"¿Quiénes somos? Somos una compañía tecnológica especializada en Inteligencia Artificia l, IA Generativa, Analytics, Gobierno del Dato, Cloud y arquitecturas Event Driven, pero sobre todo somos un equipo con conocimiento, criterio y muchas ganas de hacer las cosas bien. Trabajamos con talento altamente especializado, esté donde esté, y apostamos por una forma de crecer basada en la confianza, la autonomía y la participación. Nos mueve la excelencia tecnológica, la orientación a negocio y el sent…"
2026-06-30,2026-06-29,Mática Partners,Data Scientist,IA,"Chantada, Lugo",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5781409629?utm_medium=api&utm_source=4332c1fe,"¿Quiénes somos? Somos una compañía tecnológica especializada en Inteligencia Artificia l, IA Generativa , Analytics, Gobierno del Dato, Cloud y arquitecturas Event Driven, pero sobre todo somos un equipo con conocimiento, criterio y muchas ganas de hacer las cosas bien. Trabajamos con talento altamente especializado, esté donde esté, y apostamos por una forma de crecer basada en la confianza, la autonomía y la participación. Nos mueve la excelencia tecnológica , la orientación a negocio y el se…"
2026-06-30,2026-06-18,Novicap,Data Scientist,IA,"Barcelona, Cataluña",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5768358799?utm_medium=api&utm_source=4332c1fe,"About Novicap Novicap is an end‑to‑end working capital solutions provider focused on enabling CFOs and finance teams of SMEs to pay their suppliers and collect from their customers. This includes short‑term credit (factoring, supply chain finance and loans) and payment automation solutions. With offices in Barcelona and Madrid, we are currently looking for a Data Scientist who wants to join our team. What will you do? As mentioned, you will enable high levels of automation across business decis…"
2026-06-30,2026-05-02,Vizzuality,Data Scientist,IA,España,no especificado,20.0,25.0,,no especificado,no especificado,https://www.adzuna.es/details/5716296352?utm_medium=api&utm_source=4332c1fe,"Are you motivated by the desire to make a positive impact on the planet ? Are you looking to put your skills to work on something truly meaningful? We're on the lookout for a Data Scientist to join our team at Vizzuality. This opportunity is ideal for entry-level candidates who have just finished their studies . We're offering a permanent full-time contract, and we can offer a salary of €20,000 - €25,000 a year. 1. Would you like to be part of Vizzuality's story? At Vizzuality, our purpose is t…"
2026-06-30,2026-06-12,Ebury,Data Scientist,IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5760555169?utm_medium=api&utm_source=4332c1fe,"Ebury helps ambitious businesses unlock global growth, and we take the same approach with our people. We encourage innovation and movement, collaboration and problem-solving, and foster an environment where everyone can feel they belong, are valued, supported and empowered to succeed. If you’re a collaborator who wants to help transform how businesses operate globally, get in touch - we’d love to discuss how Ebury can accelerate your career so you can shape the future. Data Scientist - Growth L…"
2026-06-30,2026-06-03,Aristocrat Technologies,Data Scientist,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5749770341?utm_medium=api&utm_source=4332c1fe,"As one of our Games Data Scientists you will be the business facing masterminds who help turn business questions into actionable insights. You research and analyze player behaviour, and come up with recommendations. Data Scientists do this by listening to team members, understanding context and challenging business ideas. Data Scientists use diverse techniques - frequentist and Bayesian statistics, machine learning, exploratory and explanatory data analysis, causal inference, data visualization…"
2026-06-30,2026-04-27,gategroup,Data Scientist,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5711226275?utm_medium=api&utm_source=4332c1fe,"We’re looking for motivated, engaged people to help make everyone’s journeys better. TechnKey Responsibilities: • Data Analysis: Analyze large datasets to identify trends, patterns, and correlations using statistical and machine learning techniques. • Model Development: Develop, implement, and optimize predictive models and algorithms to address business challenges. • Data Preprocessing: Clean, preprocess, and transform raw data into usable formats for analysis. • Collaboration: Work with produ…"
2026-06-30,2026-06-04,Leroy Merlin España,Data Scientist,IA,"Alcobendas, Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5752244166?utm_medium=api&utm_source=4332c1fe,"¿Quieres transformar los datos en el motor que inspire el día a día de millones de hogares? En nuestro equipo no solo construimos procesos; construimos talento, innovación y experiencias memorables. Creemos que cada interacción es una oportunidad para crecer, aprender y compartir. Si te apasiona ver cómo tus algoritmos e ideas se convierten en productos reales que impactan en el día a día del negocio, este es tu lugar. Si lo que más valoras es Aprendizaje continuo: Trabajarás en la frontera de …"
2026-06-30,2026-06-11,NielsenIQ,Senior Data Scientist,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5759216168?utm_medium=api&utm_source=4332c1fe,"Job Description As Data Scientist you will have following main accountabilities: You own together with your team several of our Data Science solutions throughout the full life cycle (brainstorming, design, implementation, productization and maintenance) You develop solutions based on data science, stats and machine learning models You improve methods and tools. Contribute to our communities of practice in the area of Data Science Communicate with non-data scientists in Tech, Operations, Commerc…"
2026-06-30,2026-06-18,Smadex SLU,Growth Data Scientist,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5768404779?utm_medium=api&utm_source=4332c1fe,"Smadex is a leading advertising technology company founded in Barcelona in 2010 and sold to American-based and stock-listed Entravision in 2018 (NYSE::EVC). We are one of the top mobile ad-tech companies in the world and the largest Demand Side Platform (DSP) based in Europe, with our revenues over $100M and consistently growing 40% YoY over the past years. And with an incredible 100% growth last year. Our mission is to continue to improve our ad-tech platform, especially the core of it, our al…"
2026-06-30,2026-06-08,Refinery89,Data Scientist (Medior),IA,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5756150264?utm_medium=api&utm_source=4332c1fe,"Data Scientist (Medior) About Refinery89 Refinery89 is a leading AdTech company helping digital publishers maximize the value of their advertising inventory through advanced programmatic monetization technology. Headquartered in Madrid, with a diverse international team, we combine data, automation, and innovation to make digital advertising more transparent, efficient, and impactful. We are looking for an experienced and highly analytical Data Scientist (Medior) to join our growing AI and Data…"
2026-06-30,2026-05-30,Aristocrat Technologies,Growth Data Scientist,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5745004321?utm_medium=api&utm_source=4332c1fe,"Job Title: Data Scientist Location: Barcelona (3 days per week in the office) Department: Data and Technology Join Aristocrat as a Growth Data Scientist and help us build world-class mobile gaming experiences! This role offers an outstanding opportunity to be at the forefront of driving player acquisition strategies using innovative data science techniques. At Aristocrat, we cultivate an inclusive and collaborative culture, where innovation and excellence are celebrated. You will play a pivotal…"
2026-06-30,2026-05-24,Sanofi Group,RWE Data Scientist,IA,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5739472095?utm_medium=api&utm_source=4332c1fe,"RWE Data Scientist  _Location: Barcelona, Spain_ About the job Our Team Our Hubs are a crucial part of how we innovate, improving performance across every Sanofi department and providing a springboard for the amazing work we do. Build a career and you can be part of transforming our business while helping to change millions of lives. Ready? As RWE Data Scientist you'll provide a high level of expertise in employing cutting-edge analytical & computational approaches to drive evidence-based pharm…"
2026-06-30,2026-06-27,Jobgether,Data Scientist - Extensions,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5778324753?utm_medium=api&utm_source=4332c1fe,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Data Scientist – Extensions based in Spain. As a Data Scientist focused on Extensions, you will help advance cutting-edge AI systems designed for enterprise decision-making at scale. You will work on complex structured data problems, improving the predictive performance of large tabular models across diverse industries and real-world use cases. This role sits at the …"
2026-06-30,2026-04-09,BBVA,Data Scientist Manager,IA,"Alcobendas, Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5694157604?utm_medium=api&utm_source=4332c1fe,"Excited to grow your career? BBVA is a global company with more than 160 years of history that operates in more than 25 countries where we serve more than 80 million customers. We are more than 121,000 professionals working in multidisciplinary teams with profiles as diverse as financiers, legal experts, data scientists, developers, engineers and designers. Learn more about the area: At BBVA AI Factory… BBVA AI Factory operates as a global hub within the Data area of BBVA, with development cent…"
